Startup Name,Detected Incidents,Average Response Time (hrs),Vulnerability Score (0–10),Threat Score (0–100),Risk Level,AI Recommendation
AgroSmart_1,1,4.5,2.4,16.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_303,7,7.0,6.0,41.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_304,7,7.9,7.0,48.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_305,23,12.3,9.6,88.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_306,2,2.6,1.5,13.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_307,9,8.8,5.7,49.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_308,9,6.8,6.1,45.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_309,5,6.1,5.9,41.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_310,23,19.4,8.6,95.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_311,9,9.5,5.9,52.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_312,1,1.4,3.3,15.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_313,9,6.4,5.1,41.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_314,5,10.6,4.2,41.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_315,5,10.5,4.4,40.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_316,16,13.2,9.5,77.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_317,18,23.7,8.6,94.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_318,8,7.8,6.8,45.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_319,8,7.9,5.7,47.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_320,12,13.3,9.7,74.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_321,0,1.2,2.6,11.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_322,16,15.8,9.8,82.0,High,Urgent audit; migrate to zero-trust network architecture
CyberNet_323,2,3.1,3.3,16.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_324,3,2.6,1.4,13.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_325,17,22.1,8.6,90.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_326,3,3.3,2.4,19.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_327,6,9.8,6.9,48.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_328,10,8.4,6.3,52.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_329,8,6.3,5.2,42.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_330,8,6.0,5.2,43.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_331,9,6.9,4.4,40.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_332,7,7.0,6.5,44.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_333,12,15.4,8.9,76.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_334,6,9.1,5.8,46.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_335,5,8.5,6.8,43.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_336,6,6.3,4.5,39.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_337,22,19.0,9.5,95.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_338,2,2.3,2.6,16.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_339,1,2.7,2.8,15.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_340,5,8.2,4.6,41.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_341,3,1.7,2.1,14.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_342,8,7.8,5.9,46.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_343,10,9.1,4.3,44.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_344,6,10.0,6.0,47.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_345,3,4.2,2.8,18.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_346,6,10.4,5.9,47.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_347,3,4.8,1.2,14.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_348,10,6.5,5.7,49.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_349,16,14.5,8.5,77.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_350,0,2.5,3.0,15.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_351,2,2.3,1.8,12.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_352,8,8.0,6.9,45.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_353,5,9.2,6.6,44.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_354,3,1.1,3.1,16.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_355,2,4.5,3.1,20.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_356,2,1.5,2.8,13.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_357,6,10.4,4.8,46.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_358,20,23.4,8.1,94.0,High,Urgent audit; migrate to zero-trust network architecture
HealthAI_359,8,8.7,5.9,50.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_360,8,9.8,4.9,44.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_361,15,21.6,8.1,85.0,High,Urgent audit; migrate to zero-trust network architecture
BioTrace_362,8,6.5,4.8,39.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_363,9,10.2,4.8,48.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_364,1,3.0,1.5,10.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_365,18,19.0,8.6,87.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_366,6,6.3,6.9,43.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_367,1,2.4,2.3,11.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_368,8,6.5,6.1,42.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_369,22,23.3,9.4,100.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_370,16,13.9,9.4,82.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_371,2,1.9,3.3,17.0,Low,Maintain patch cycle; SOC audits bi-annually
CloudSecure_372,24,16.0,8.4,92.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_373,7,10.8,6.2,51.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_374,7,8.6,6.4,45.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_375,0,3.5,1.9,14.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_376,7,9.8,6.4,48.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_377,19,22.8,9.4,93.0,High,Urgent audit; migrate to zero-trust network architecture
BioTrace_378,7,10.3,4.0,45.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_379,0,1.4,1.2,10.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_380,2,4.8,2.5,16.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_381,0,3.0,1.1,10.0,Low,Maintain patch cycle; SOC audits bi-annually
CloudSecure_382,22,20.8,7.9,95.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_383,1,1.9,0.9,10.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_384,2,3.1,1.9,13.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_385,0,3.2,3.4,17.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_386,9,10.5,5.1,48.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_387,9,7.9,5.3,46.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_388,0,1.1,3.3,14.0,Low,Maintain patch cycle; SOC audits bi-annually
CloudSecure_389,5,7.0,6.9,40.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_390,10,7.2,5.7,47.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_391,12,13.1,8.2,68.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_392,19,21.8,8.3,89.0,High,Urgent audit; migrate to zero-trust network architecture
InnoRisk_393,7,10.0,6.2,48.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_394,7,9.8,6.9,52.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_395,8,7.4,7.0,46.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_396,0,2.5,1.5,10.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_397,9,6.3,6.0,47.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_398,8,8.6,4.6,40.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_399,10,7.8,5.5,45.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_400,7,6.1,6.3,40.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_401,8,9.0,5.7,45.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_402,5,10.7,4.9,42.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_403,9,8.7,5.4,45.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_404,1,4.0,3.0,19.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_405,2,2.1,2.6,15.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_406,20,15.2,9.6,85.0,High,Urgent audit; migrate to zero-trust network architecture
InnoRisk_407,6,10.4,5.0,46.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_408,5,8.6,4.8,38.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_409,14,18.5,8.5,83.0,High,Urgent audit; migrate to zero-trust network architecture
CyberNet_410,1,1.6,1.7,11.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_411,5,7.5,4.9,39.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_412,6,10.6,6.5,45.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_413,14,18.2,8.5,82.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_414,1,3.7,2.5,16.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_415,8,6.9,6.4,48.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_416,21,20.8,8.7,92.0,High,Urgent audit; migrate to zero-trust network architecture
AgroSmart_417,13,15.9,9.1,76.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_418,10,10.1,4.1,45.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_419,21,13.6,8.8,88.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_420,1,3.2,1.1,12.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_421,3,2.7,3.2,16.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_422,7,7.0,5.2,40.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_423,8,7.4,5.7,47.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_424,1,4.6,1.8,15.0,Low,Maintain patch cycle; SOC audits bi-annually
CloudSecure_425,8,8.9,6.3,46.0,Medium,Train staff on phishing; deploy EDR tool update
EduSolve_426,7,6.2,6.2,41.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_427,3,3.4,1.6,14.0,Low,Maintain patch cycle; SOC audits bi-annually
EduSolve_428,18,17.9,9.3,87.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_429,16,22.1,7.5,87.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_430,6,7.0,4.3,37.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_431,0,4.5,1.8,13.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_432,13,12.4,9.0,73.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_433,7,7.9,7.0,45.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_434,1,2.5,1.5,13.0,Low,Maintain patch cycle; SOC audits bi-annually
CloudSecure_435,7,10.3,6.3,48.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_436,2,1.7,3.0,14.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_437,20,13.8,9.0,84.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_438,6,10.9,4.8,41.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_439,21,21.4,9.3,95.0,High,Urgent audit; migrate to zero-trust network architecture
HealthAI_440,21,18.8,7.9,88.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_441,5,10.5,6.4,48.0,Medium,Train staff on phishing; deploy EDR tool update
SafePay_442,6,10.4,6.9,51.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_443,9,10.2,6.3,53.0,Medium,Train staff on phishing; deploy EDR tool update
SafePay_444,18,16.2,9.4,85.0,High,Urgent audit; migrate to zero-trust network architecture
BioTrace_445,3,2.7,2.0,16.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_446,24,22.5,9.1,99.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_447,6,10.7,5.2,43.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_448,6,6.3,5.8,42.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_449,12,12.7,8.8,71.0,High,Urgent audit; migrate to zero-trust network architecture
CloudSecure_450,24,16.5,8.6,96.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_451,7,8.2,6.8,46.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_452,24,13.6,8.6,90.0,High,Urgent audit; migrate to zero-trust network architecture
HealthAI_453,1,2.9,3.2,16.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_454,10,6.7,5.1,47.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_455,21,20.9,9.1,94.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_456,2,3.5,3.5,20.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_457,8,8.8,6.0,45.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_458,6,10.6,4.2,40.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_459,23,15.0,9.8,91.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_460,22,15.1,9.5,89.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_461,5,7.1,4.5,37.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_462,2,1.3,1.8,11.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_463,18,20.0,9.2,91.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_464,3,1.1,1.3,11.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_465,22,21.6,9.0,95.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_466,1,1.8,1.3,11.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_467,21,21.6,8.5,92.0,High,Urgent audit; migrate to zero-trust network architecture
AgroSmart_468,22,22.6,8.6,100.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_469,7,7.8,4.8,42.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_470,5,10.1,4.3,39.0,Low,Maintain patch cycle; SOC audits bi-annually
SecureOps_471,2,1.0,2.1,12.0,Low,Maintain patch cycle; SOC audits bi-annually
SecureOps_472,10,9.8,4.1,47.0,Medium,Train staff on phishing; deploy EDR tool update
CloudSecure_473,8,8.0,5.4,44.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_474,3,1.9,0.5,10.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_475,5,7.0,5.9,43.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_476,6,9.7,4.3,43.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_477,23,17.7,8.9,91.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_478,17,13.4,8.0,80.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_479,14,22.1,8.3,85.0,High,Urgent audit; migrate to zero-trust network architecture
LogiChain_480,15,12.9,9.5,79.0,High,Urgent audit; migrate to zero-trust network architecture
CyberNet_481,6,7.3,6.0,44.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_482,14,17.0,9.6,80.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_483,6,10.0,6.5,45.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_484,12,12.4,9.6,70.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_485,1,4.9,3.2,18.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_486,9,7.4,5.2,42.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_487,9,9.3,4.3,43.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_488,16,19.5,9.3,90.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_489,12,14.8,8.9,71.0,High,Urgent audit; migrate to zero-trust network architecture
DataShield_490,0,3.9,1.1,11.0,Low,Maintain patch cycle; SOC audits bi-annually
LogiChain_491,21,20.3,8.1,94.0,High,Urgent audit; migrate to zero-trust network architecture
ZenithCyber_492,2,2.5,1.3,12.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_493,2,1.2,3.4,16.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_494,0,2.0,0.7,10.0,Low,Maintain patch cycle; SOC audits bi-annually
HealthAI_495,19,23.4,8.0,91.0,High,Urgent audit; migrate to zero-trust network architecture
CloudSecure_496,8,6.9,4.9,43.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_497,16,20.6,9.6,88.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_498,5,10.3,6.0,42.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_499,6,7.2,6.2,45.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_500,18,12.4,8.0,75.0,High,Urgent audit; migrate to zero-trust network architecture
SafePay_501,6,9.8,5.3,45.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_502,12,22.2,9.9,85.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_503,1,2.1,2.4,11.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_504,18,17.5,9.4,90.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_505,10,7.4,4.5,46.0,Medium,Train staff on phishing; deploy EDR tool update
BioTrace_506,20,12.7,8.0,81.0,High,Urgent audit; migrate to zero-trust network architecture
CloudSecure_507,10,10.3,4.4,50.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_508,5,8.0,6.0,44.0,Medium,Train staff on phishing; deploy EDR tool update
AgroSmart_509,2,4.7,3.4,20.0,Low,Maintain patch cycle; SOC audits bi-annually
SafePay_510,5,9.6,4.5,41.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_511,3,1.9,3.0,18.0,Low,Maintain patch cycle; SOC audits bi-annually
ZenithCyber_512,17,21.9,8.2,85.0,High,Urgent audit; migrate to zero-trust network architecture
InnoRisk_513,2,2.6,2.9,15.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_514,9,9.7,6.1,53.0,Medium,Train staff on phishing; deploy EDR tool update
FinFlow_515,21,17.8,9.3,95.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_516,7,7.0,6.8,45.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_517,10,9.5,4.6,47.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_518,7,7.1,4.8,41.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_519,6,10.7,6.4,46.0,Medium,Train staff on phishing; deploy EDR tool update
SecureOps_520,0,3.2,1.5,10.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_521,23,12.3,8.7,86.0,High,Urgent audit; migrate to zero-trust network architecture
EcoTech_522,9,7.9,5.2,45.0,Medium,Train staff on phishing; deploy EDR tool update
DataShield_523,8,6.1,5.2,41.0,Medium,Train staff on phishing; deploy EDR tool update
ZenithCyber_524,1,4.6,1.0,14.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_525,14,12.1,9.5,77.0,High,Urgent audit; migrate to zero-trust network architecture
DataShield_526,6,9.8,6.6,45.0,Medium,Train staff on phishing; deploy EDR tool update
CyberNet_527,5,6.5,4.7,38.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_528,24,23.5,9.3,100.0,High,Urgent audit; migrate to zero-trust network architecture
FinFlow_529,1,4.2,2.5,16.0,Low,Maintain patch cycle; SOC audits bi-annually
AgroSmart_530,2,2.2,1.1,11.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_531,9,6.9,5.9,47.0,Medium,Train staff on phishing; deploy EDR tool update
EcoTech_532,2,2.3,2.6,14.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_533,12,12.5,9.6,72.0,High,Urgent audit; migrate to zero-trust network architecture
DataShield_534,7,9.0,6.3,46.0,Medium,Train staff on phishing; deploy EDR tool update
LogiChain_535,17,23.8,8.8,94.0,High,Urgent audit; migrate to zero-trust network architecture
CyberNet_536,0,4.2,1.3,12.0,Low,Maintain patch cycle; SOC audits bi-annually
DataShield_537,1,1.6,1.7,10.0,Low,Maintain patch cycle; SOC audits bi-annually
BioTrace_538,1,2.4,3.2,15.0,Low,Maintain patch cycle; SOC audits bi-annually
EcoTech_539,8,8.6,4.4,41.0,Medium,Train staff on phishing; deploy EDR tool update
HealthAI_540,24,16.0,9.1,96.0,High,Urgent audit; migrate to zero-trust network architecture
SecureOps_541,1,4.2,0.7,11.0,Low,Maintain patch cycle; SOC audits bi-annually
AlphaGuard_542,15,21.1,8.6,84.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_543,3,1.2,3.4,18.0,Low,Maintain patch cycle; SOC audits bi-annually
FinFlow_544,0,3.5,2.8,12.0,Low,Maintain patch cycle; SOC audits bi-annually
CyberNet_545,5,7.6,6.0,41.0,Medium,Train staff on phishing; deploy EDR tool update
AlphaGuard_546,12,16.1,8.4,73.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_547,2,2.7,1.7,11.0,Low,Maintain patch cycle; SOC audits bi-annually
InnoRisk_548,14,12.6,9.9,74.0,High,Urgent audit; migrate to zero-trust network architecture
AlphaGuard_549,20,17.8,7.5,88.0,High,Urgent audit; migrate to zero-trust network architecture
EduSolve_550,1,4.9,2.3,18.0,Low,Maintain patch cycle; SOC audits bi-annually
